"","summary_glm","summary_gee","summary_re_nosig","summary_re","summary_cop","summary_cop_n","actuals","","","",""
"",-0.261765522563447,-0.26176552256954,-0.8918712722287,-1.70905598929527,-0.265392879018591,-0.235947024236178,-0.22314355131421,0.8,0.433533533533533,3.125,0.390625
"",-0.260107241775997,-0.260107241781434,-0.905191652839496,-1.7081297654259,-0.250710109207306,-0.230890538132597,-0.22314355131421,0.8,0.485673673673674,3.125,0.390625
"",-0.267264944540627,-0.26726494455119,-0.926858998475341,-1.72486214535969,-0.26211510427809,-0.236558241534064,-0.22314355131421,0.8,0.479231231231231,3.125,0.390625
"",-0.303842944387826,-0.303842944393688,-0.958906354518884,-1.73934959446516,-0.305378159935878,-0.276881467895496,-0.22314355131421,0.8,0.479683683683684,3.125,0.390625
"",-0.271498656439419,-0.27149865644345,-0.924301285623916,-0.925782851928597,-0.276192310987102,-0.242582337497331,-0.22314355131421,0.8,0.491835835835836,3.125,0.390625
"",-0.267968375048257,-0.267968375053493,-0.935385251778858,-0.546873890849815,-0.269724361415281,-0.236720893399867,-0.22314355131421,0.8,0.520644644644645,3.125,0.390625
"",-0.245541572066017,-0.245541572080313,-0.938607599407206,-0.588798357918937,-0.234572456722164,-0.212455874998943,-0.22314355131421,0.8,0.538678678678679,3.125,0.390625
"",-0.321183949091903,-0.321183949092856,-0.954952274635372,-0.628196600335026,-0.313323409383366,-0.29356842286057,-0.22314355131421,0.8,0.519151151151151,3.125,0.390625
"",-0.259361930167571,-0.259361930180195,-0.954914300676882,-1.06350134687678,-0.271205463618434,-0.222818684808387,-0.22314355131421,0.8,0.529665665665666,3.125,0.390625
"",-0.284570557294754,-0.284570557298305,-0.969619055269964,-1.05930068104277,-0.267636996875398,-0.248473550253584,-0.22314355131421,0.8,0.580788788788789,3.125,0.390625
"",-0.269044757576268,-0.269044757580195,-0.956872758210929,-1.04607014818444,-0.260101068337083,-0.234895139577873,-0.22314355131421,0.8,0.571863863863864,3.125,0.390625
"",-0.161305993018008,-0.161305993018,-0.316806644112372,-0.325291308203391,-0.164946332415517,-0.159706550138049,-0.105360515657826,0.9,0.113945945945946,2.46913580246914,0.308641975308642
"",-0.115624780907507,-0.115624780907495,-0.367873919509629,-0.369845222873261,-0.115171552995463,-0.114933416134863,-0.105360515657826,0.9,0.15360960960961,2.46913580246914,0.308641975308642
"",-0.108328902921464,-0.10832890292145,-0.379371993683322,-0.37562084939185,-0.110481105306257,-0.104285472459931,-0.105360515657826,0.9,0.175083083083083,2.46913580246914,0.308641975308642
"",-0.113447393355723,-0.113447393355709,-0.421823634803146,-0.422305756383164,-0.114619770904151,-0.110260627941739,-0.105360515657826,0.9,0.181241241241241,2.46913580246914,0.308641975308642
"",-0.0958954041352893,-0.0958954041352934,-0.49403776938312,-1.41294556956735,-0.0960334547932983,-0.0899396667795458,-0.105360515657826,0.9,0.252308308308308,2.46913580246914,0.308641975308642
"",-0.100002479015423,-0.100002479015437,-0.553968450623552,-1.42300565114068,-0.100107200062804,-0.0914369622312004,-0.105360515657826,0.9,0.311535535535535,2.46913580246914,0.308641975308642
"",-0.157464174463351,-0.157464174463343,-0.593384873166449,-1.40459303073156,-0.15726103770108,-0.147115042012889,-0.105360515657826,0.9,0.323171171171171,2.46913580246914,0.308641975308642
"",-0.171789741370209,-0.17178974137023,-0.664558037223619,-0.121942488987003,-0.170030976925353,-0.158099957922316,-0.105360515657826,0.9,0.366674674674675,2.46913580246914,0.308641975308642
"",-0.158392030508854,-0.158392030508868,-0.664656816852037,-1.46580564027796,-0.16355968822984,-0.143538787014568,-0.105360515657826,0.9,0.382970970970971,2.46913580246914,0.308641975308642
"",-0.179653492897957,-0.179653492897955,-0.689704492529968,-1.4706349844891,-0.177680311583464,-0.161410873979286,-0.105360515657826,0.9,0.414346346346346,2.46913580246914,0.308641975308642
"",-0.196810895131962,-0.196810895131964,-0.716420164860363,-0.853025007272767,-0.193050766311285,-0.179251485747963,-0.105360515657826,0.9,0.425325325325325,2.46913580246914,0.308641975308642
"",-0.175280845553063,-0.175280845553077,-0.708889416848946,-0.262859898222244,-0.169616276268016,-0.155846223373153,-0.105360515657826,0.9,0.44239039039039,2.46913580246914,0.308641975308642
